FPR,TPR,Threshold,SampleSize,ElapsedTime
0.0,0.0,inf,10000,918.9434554576874
0.0,0.0035842293906810036,-0.006242,10000,918.9434554576874
0.0,0.06810035842293907,-0.231463,10000,918.9434554576874
0.00010287007509515482,0.06810035842293907,-0.23366,10000,918.9434554576874
0.00010287007509515482,0.08960573476702509,-0.242494,10000,918.9434554576874
0.00020574015019030964,0.08960573476702509,-0.243998,10000,918.9434554576874
0.00020574015019030964,0.0967741935483871,-0.245164,10000,918.9434554576874
0.00030861022528546445,0.0967741935483871,-0.24672,10000,918.9434554576874
0.00030861022528546445,0.1003584229390681,-0.248166,10000,918.9434554576874
0.0004114803003806193,0.1003584229390681,-0.249146,10000,918.9434554576874
0.0004114803003806193,0.1111111111111111,-0.252702,10000,918.9434554576874
0.0007200905256660837,0.1111111111111111,-0.255514,10000,918.9434554576874
0.0007200905256660837,0.11469534050179211,-0.256263,10000,918.9434554576874
0.0008229606007612386,0.11469534050179211,-0.256831,10000,918.9434554576874
0.0008229606007612386,0.12903225806451613,-0.262684,10000,918.9434554576874
0.0009258306758563934,0.12903225806451613,-0.263703,10000,918.9434554576874
0.0009258306758563934,0.13978494623655913,-0.270121,10000,918.9434554576874
0.0010287007509515481,0.13978494623655913,-0.270145,10000,918.9434554576874
0.0010287007509515481,0.15412186379928317,-0.27567,10000,918.9434554576874
0.001131570826046703,0.15412186379928317,-0.277215,10000,918.9434554576874
0.001131570826046703,0.15770609318996415,-0.277667,10000,918.9434554576874
0.0014401810513321675,0.15770609318996415,-0.278348,10000,918.9434554576874
0.0014401810513321675,0.16129032258064516,-0.278383,10000,918.9434554576874
0.0015430511264273223,0.16129032258064516,-0.278958,10000,918.9434554576874
0.0015430511264273223,0.16487455197132617,-0.27982,10000,918.9434554576874
0.0019545314268079417,0.16487455197132617,-0.284344,10000,918.9434554576874
0.0019545314268079417,0.1827956989247312,-0.288307,10000,918.9434554576874
0.0021602715769982513,0.1827956989247312,-0.289635,10000,918.9434554576874
0.0021602715769982513,0.1863799283154122,-0.289692,10000,918.9434554576874
0.0025717518773788707,0.1863799283154122,-0.292292,10000,918.9434554576874
0.0025717518773788707,0.1971326164874552,-0.294585,10000,918.9434554576874
0.0027774920275691803,0.1971326164874552,-0.295167,10000,918.9434554576874
0.0027774920275691803,0.2007168458781362,-0.295838,10000,918.9434554576874
0.002880362102664335,0.2007168458781362,-0.296269,10000,918.9434554576874
0.002880362102664335,0.20430107526881722,-0.296295,10000,918.9434554576874
0.0030861022528546446,0.20430107526881722,-0.296764,10000,918.9434554576874
0.0030861022528546446,0.2078853046594982,-0.297662,10000,918.9434554576874
0.0031889723279497992,0.2078853046594982,-0.297797,10000,918.9434554576874
