FPR,TPR,Threshold,SampleSize,ElapsedTime
0.0,0.0,inf,10000,2561.918400287628
0.0,0.0035842293906810036,-0.003809,10000,2561.918400287628
0.00010287007509515482,0.0035842293906810036,-0.008717,10000,2561.918400287628
0.00010287007509515482,0.007168458781362007,-0.010334,10000,2561.918400287628
0.0005143503754757741,0.007168458781362007,-0.036724,10000,2561.918400287628
0.0005143503754757741,0.11469534050179211,-0.257038,10000,2561.918400287628
0.0006172204505709289,0.11469534050179211,-0.257594,10000,2561.918400287628
0.0006172204505709289,0.18996415770609318,-0.30826,10000,2561.918400287628
0.0007200905256660837,0.18996415770609318,-0.30927,10000,2561.918400287628
0.0007200905256660837,0.22939068100358423,-0.330231,10000,2561.918400287628
0.0008229606007612386,0.22939068100358423,-0.333649,10000,2561.918400287628
0.0008229606007612386,0.24731182795698925,-0.337323,10000,2561.918400287628
0.0009258306758563934,0.24731182795698925,-0.338669,10000,2561.918400287628
0.0009258306758563934,0.25448028673835127,-0.345,10000,2561.918400287628
0.0010287007509515481,0.25448028673835127,-0.346386,10000,2561.918400287628
0.0010287007509515481,0.26881720430107525,-0.352357,10000,2561.918400287628
0.001131570826046703,0.26881720430107525,-0.352938,10000,2561.918400287628
0.001131570826046703,0.3046594982078853,-0.359921,10000,2561.918400287628
0.0012344409011418578,0.3046594982078853,-0.36007,10000,2561.918400287628
0.0012344409011418578,0.3225806451612903,-0.362396,10000,2561.918400287628
0.0014401810513321675,0.3225806451612903,-0.366012,10000,2561.918400287628
0.0014401810513321675,0.32974910394265233,-0.366618,10000,2561.918400287628
0.0016459212015224772,0.32974910394265233,-0.36745,10000,2561.918400287628
0.0016459212015224772,0.3333333333333333,-0.37007,10000,2561.918400287628
0.0018516613517127868,0.3333333333333333,-0.371254,10000,2561.918400287628
0.0018516613517127868,0.34767025089605735,-0.374027,10000,2561.918400287628
0.002263141652093406,0.34767025089605735,-0.377344,10000,2561.918400287628
0.002263141652093406,0.3655913978494624,-0.382393,10000,2561.918400287628
0.0025717518773788707,0.3655913978494624,-0.383614,10000,2561.918400287628
0.0025717518773788707,0.36917562724014336,-0.386334,10000,2561.918400287628
0.0026746219524740253,0.36917562724014336,-0.3868,10000,2561.918400287628
0.0026746219524740253,0.3978494623655914,-0.389664,10000,2561.918400287628
0.0032918424030449543,0.3978494623655914,-0.392353,10000,2561.918400287628
0.0032918424030449543,0.4050179211469534,-0.394097,10000,2561.918400287628
0.003394712478140109,0.4050179211469534,-0.394522,10000,2561.918400287628
0.003394712478140109,0.4121863799283154,-0.396362,10000,2561.918400287628
0.0036004526283304186,0.4121863799283154,-0.396596,10000,2561.918400287628
0.0036004526283304186,0.4157706093189964,-0.397839,10000,2561.918400287628
0.0038061927785207283,0.4157706093189964,-0.398884,10000,2561.918400287628
0.0038061927785207283,0.41935483870967744,-0.399254,10000,2561.918400287628
0.0041148030038061926,0.41935483870967744,-0.400826,10000,2561.918400287628
0.0041148030038061926,0.4265232974910394,-0.401121,10000,2561.918400287628
0.004320543153996503,0.4265232974910394,-0.401356,10000,2561.918400287628
0.004320543153996503,0.4336917562724014,-0.401564,10000,2561.918400287628
0.004526283304186812,0.4336917562724014,-0.402897,10000,2561.918400287628
0.004526283304186812,0.4444444444444444,-0.405308,10000,2561.918400287628
0.0046291533792819665,0.4444444444444444,-0.405916,10000,2561.918400287628
0.0046291533792819665,0.44802867383512546,-0.406188,10000,2561.918400287628
0.004732023454377122,0.44802867383512546,-0.407668,10000,2561.918400287628
0.004732023454377122,0.46236559139784944,-0.40866,10000,2561.918400287628
0.004937763604567431,0.46236559139784944,-0.409227,10000,2561.918400287628
0.004937763604567431,0.4659498207885305,-0.409654,10000,2561.918400287628
